Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
12:41.5,294,374,561,735,291,2.52,397.54,1.42,127.52,286,781,120.57,777,14537,69551,3885,0.99,-0.04,0.1,-1.95,-0.21,-3.82,-2.83,-82.44,-10.53,-5.7,-3.09,-10.22,-8.77,Standing
12:41.6,357,374,561,735,291,2.52,397.54,1.42,127.52,286,778,120.57,777,14537,85011,4663,0.97,-0.03,0.1,-3.08,-0.31,-5.38,-2.45,-82.41,-10.78,-5.93,-3.55,-10.45,-8.99,Standing
12:41.7,380,374,561,735,292,2.5,399.45,1.43,127.52,286,777,120.57,777,14537,98916,5440,0.98,-0.01,0.09,-0.47,-0.46,2.11,-1.42,-82.89,-10.77,-6.17,-3.26,-10.4,-9.24,Standing
12:41.8,735,379,568.5,735,293,2.49,401.37,1.43,127.52,286,772,120.57,777,14537,105076,6212,1.01,-0.04,0.09,-3.37,-2.33,4.09,-2.97,-82.61,-11.06,-6.61,-2.76,-10.73,-9.65,Standing
12:41.9,335,378,567,735,293,2.49,401.37,1.43,127.52,286,774,120.57,777,14537,114328,6986,1.02,-0.05,0.08,-2.81,3.07,-0.04,-3.35,-83.03,-11.28,-6.5,-2.69,-10.96,-9.57,Standing
12:42.0,392,378,567,735,294,2.48,403.29,1.44,138.79,291,774,111.17,776,12357,0,0,1.03,-0.06,0.08,-4.34,-0.36,-1.82,-3.86,-82.95,-11.65,-6.74,-2.79,-11.34,-9.79,Standing
12:42.1,397,379,568.5,735,294,2.48,403.29,1.44,138.79,291,775,111.17,776,12357,10801,775,1.02,-0.06,0.09,-1.37,4.03,-3.31,-3.68,-82.7,-11.74,-6.53,-3.04,-11.41,-9.58,Standing
12:42.2,412,379,568.5,735,294,2.48,403.29,1.44,138.79,291,775,111.17,776,12357,21602,1550,1.01,-0.05,0.09,-1.09,3.92,-2.68,-3.57,-82.44,-11.79,-6.34,-3.23,-11.46,-9.39,Standing
12:42.3,365,379,568.5,735,295,2.47,405.22,1.44,138.79,291,775,111.17,776,12357,32403,2325,1,-0.04,0.09,-3.37,2.37,-3.36,-2.86,-82.87,-12.07,-6.31,-3.49,-11.7,-9.37,Standing
12:42.4,360,379,568.5,735,295,2.47,405.22,1.44,138.79,291,774,111.17,776,12357,41655,3099,1.01,-0.03,0.1,-0.62,4.6,-0.03,-2.24,-82.76,-12.08,-6.04,-3.41,-11.68,-9.11,Standing
12:42.5,417,379,568.5,735,296,2.46,407.15,1.45,138.79,291,777,111.17,776,12357,55560,3876,1.02,-0.05,0.1,0.1,3.54,-0.37,-3.15,-82.23,-12.01,-5.89,-3.37,-11.66,-8.94,Standing
12:42.6,456,380,570,735,296,2.46,407.15,1.45,138.79,291,778,111.17,776,12357,71020,4654,1.01,-0.05,0.11,-0.66,4.37,-2.96,-3.47,-81.54,-12.02,-5.66,-3.58,-11.68,-8.69,Standing
12:42.7,448,381,571.5,735,297,2.44,409.09,1.45,138.79,291,780,111.17,776,12357,89596,5434,0.99,-0.03,0.1,-3.79,0.73,-3.95,-2.09,-82.47,-12.35,-5.78,-3.9,-11.94,-8.85,Standing
12:42.8,420,381,571.5,735,297,2.44,409.09,1.45,138.79,291,774,111.17,776,12357,98848,6208,0.99,-0.04,0.12,-2.89,-2.27,-0.4,-2.89,-81.34,-12.58,-6.21,-3.86,-12.19,-9.22,Standing
12:42.9,784,386,579,784,298,2.43,411.03,1.46,138.79,291,779,111.17,776,12357,115865,6987,1.01,-0.04,0.11,-3.56,0.37,-0.92,-2.68,-81.89,-12.88,-6.37,-3.88,-12.47,-9.4,Standing
12:43.0,381,386,579,784,298,2.43,411.03,1.46,148.6,296,780,115.95,776,13443,0,0,1.01,-0.04,0.09,-2.75,1.73,-2.01,-2.83,-82.62,-13.1,-6.4,-4,-12.69,-9.45,Standing
12:43.1,420,386,579,784,298,2.43,411.03,1.46,148.6,296,782,115.95,776,13443,21700,782,1,-0.04,0.12,-1.41,-0.52,-3.19,-2.83,-81.41,-13.18,-6.65,-4.24,-12.77,-9.64,Standing
12:43.2,451,387,580.5,784,299,2.42,412.98,1.46,148.6,296,775,115.95,776,13443,32501,1557,1.01,-0.04,0.11,-3.02,-0.18,-2.19,-2.73,-81.86,-13.43,-6.87,-4.38,-13,-9.87,Standing
12:43.3,435,387,580.5,784,299,2.42,412.98,1.46,148.6,296,776,115.95,776,13443,44853,2333,1.01,-0.04,0.1,-2.39,0.21,-1.66,-2.58,-82.23,-13.61,-7.05,-4.46,-13.17,-10.06,Standing
12:43.4,422,388,582,784,300,2.41,414.94,1.47,148.6,296,776,115.95,776,13443,57205,3109,1.02,-0.03,0.1,-1.33,1.01,-3.18,-2.1,-82.46,-13.69,-7.15,-4.7,-13.23,-10.16,Standing
12:43.5,730,391,586.5,784,300,2.41,414.94,1.47,148.6,296,768,115.95,776,13443,57205,3877,1.01,-0.03,0.11,-0.77,1,-1.66,-2,-81.8,-13.71,-7.25,-4.79,-13.24,-10.23,Standing
12:43.6,381,391,586.5,784,300,2.41,414.94,1.47,148.6,296,778,115.95,776,13443,72665,4655,1.01,-0.04,0.1,-2.89,-1.05,-1.61,-2.73,-82.2,-13.95,-7.56,-4.87,-13.5,-10.54,Standing
12:43.7,416,391,586.5,784,300,2.41,414.94,1.47,148.6,296,780,115.95,776,13443,91241,5435,1.01,-0.03,0.12,-0.49,5.02,-3.28,-2.38,-81.48,-13.94,-7.25,-5.12,-13.48,-10.22,Standing
12:43.8,417,392,588,784,301,2.4,416.9,1.47,148.6,296,786,115.95,776,13443,119213,6221,1,-0.02,0.11,-3.15,-0.19,-3.97,-1.68,-82.13,-14.2,-7.47,-5.44,-13.7,-10.46,Standing
